Player,Season,From Club,To Club,Market Value,Transfer Fee
Manuel Ugarte,23/24,Sporting CP,Paris SG,€50.00m,€60.00m
Manuel Ugarte,21/22,Famalicão,Sporting CP,€5.00m,€12.50m
Manuel Ugarte,20/21,CA Fénix,Famalicão,€3.00m,€9.10m
Manuel Ugarte,16/17,CA Fénix U19,CA Fénix,-,-
Alphonso Davies,18/19,Vancouver,Bayern Munich,€10.00m,€14.00m
Alphonso Davies,16/17,Whitecaps FC 2,Vancouver,-,-
Alphonso Davies,15/16,Whitecaps Res,Whitecaps FC 2,-,-
Takefusa Kubo,22/23,Real Madrid,Real Sociedad,€7.50m,€6.50m
Takefusa Kubo,21/22,RCD Mallorca,Real Madrid,€7.50m,End of loan
Takefusa Kubo,21/22,Real Madrid,RCD Mallorca,€15.00m,loan transfer
Takefusa Kubo,20/21,Getafe,Real Madrid,€15.00m,End of loan
Takefusa Kubo,20/21,Real Madrid,Getafe,€20.00m,"Loan fee:
€1.25m"
Takefusa Kubo,20/21,Villarreal,Real Madrid,€20.00m,End of loan
Takefusa Kubo,20/21,Real Madrid,Villarreal,€30.00m,"Loan fee:
€1.25m"
Takefusa Kubo,20/21,RCD Mallorca,Real Madrid,€13.50m,End of loan
Takefusa Kubo,19/20,Real Madrid,RCD Mallorca,€2.00m,loan transfer
Takefusa Kubo,19/20,FC Tokyo,Real Madrid,€2.00m,free transfer
Takefusa Kubo,18/19,Yokohama F. M.,FC Tokyo,€500k,End of loan
Takefusa Kubo,18/19,FC Tokyo,Yokohama F. M.,€300k,loan transfer
Takefusa Kubo,17/18,FC Tokyo U18,FC Tokyo,-,-
Takefusa Kubo,14/15,Barça Youth,FC Tokyo U18,-,free transfer
Takefusa Kubo,10/11,Frontale Jgd.,Barça Youth,-,free transfer
Loïs Openda,23/24,Lens,RB Leipzig,€35.00m,€38.50m
Loïs Openda,22/23,Club Brugge,Lens,€7.50m,€15.39m
Loïs Openda,21/22,Vitesse,Club Brugge,€7.50m,End of loan
Loïs Openda,20/21,Club Brugge,Vitesse,€4.00m,loan transfer
Loïs Openda,18/19,FC Brügge U21,Club Brugge,-,-
Loïs Openda,16/17,Club Bruges U19,FC Brügge U21,-,-
Loïs Openda,15/16,Club Brugge Yth,Club Bruges U19,-,-
Loïs Openda,15/16,Standard Liège,Club Brugge Yth,-,€190k
Cristian Romero,22/23,Atalanta BC,Tottenham,€48.00m,€50.00m
Cristian Romero,22/23,Tottenham,Atalanta BC,€48.00m,End of loan
Cristian Romero,21/22,Atalanta BC,Tottenham,€35.00m,loan transfer
Cristian Romero,21/22,Juventus,Atalanta BC,€35.00m,€17.00m
Cristian Romero,21/22,Atalanta BC,Juventus,€35.00m,End of loan
Cristian Romero,20/21,Juventus,Atalanta BC,€14.00m,"Loan fee:
€2.32m"
Cristian Romero,19/20,Genoa,Juventus,€14.00m,End of loan
Cristian Romero,19/20,Juventus,Genoa,€15.00m,loan transfer
Cristian Romero,19/20,Genoa,Juventus,€15.00m,€31.50m
Cristian Romero,18/19,Belgrano,Genoa,€750k,€4.25m
Cristian Romero,16/17,Belgrano II,Belgrano,€150k,-
Cristian Romero,15/16,Belgrano U20,Belgrano II,-,-
Theo Hernández,19/20,Real Madrid,AC Milan,€15.00m,€22.80m
Theo Hernández,18/19,Real Sociedad,Real Madrid,€15.00m,End of loan
Theo Hernández,18/19,Real Madrid,Real Sociedad,€15.00m,loan transfer
Theo Hernández,17/18,Atlético Madrid,Real Madrid,€15.00m,€24.00m
Theo Hernández,16/17,Alavés,Atlético Madrid,€15.00m,End of loan
Theo Hernández,16/17,Atlético Madrid,Alavés,€1.00m,loan transfer
Theo Hernández,16/17,Atl. Madrid B,Atlético Madrid,-,-
Theo Hernández,15/16,Atl. Madrid U19,Atl. Madrid B,-,-
Theo Hernández,14/15,Atl. Madrid U17,Atl. Madrid U19,-,-
Theo Hernández,13/14,Atléti Youth,Atl. Madrid B,-,-
Theo Hernández,07/08,CF Rayo Majadaho,Atléti Youth,-,free transfer
Marcus Thuram,23/24,Bor. M'gladbach,Inter,€32.00m,free transfer
Marcus Thuram,19/20,Guingamp,Bor. M'gladbach,€9.00m,€9.00m
Marcus Thuram,17/18,FC Sochaux,Guingamp,€600k,€600k
Marcus Thuram,14/15,FC Sochaux B,FC Sochaux,-,-
Marcus Thuram,13/14,FC Sochaux U19,FC Sochaux B,-,-
Marcus Thuram,12/13,ACBB Youth,FC Sochaux U19,-,free transfer
Kai Havertz,23/24,Chelsea,Arsenal,€55.00m,€75.00m
Kai Havertz,20/21,B. Leverkusen,Chelsea,€81.00m,€80.00m
Kai Havertz,16/17,Leverkusen U17,B. Leverkusen,€100k,-
Kai Havertz,14/15,Leverkusen Yth.,Leverkusen U17,-,-
Kai Havertz,10/11,Aachen Yth.,Leverkusen Yth.,-,free transfer
Kai Havertz,09/10,Mariadorf Yth.,Aachen Yth.,-,free transfer
Ousmane Dembélé,23/24,Barcelona,Paris SG,€60.00m,€50.00m
Ousmane Dembélé,17/18,Bor. Dortmund,Barcelona,€33.00m,€135.00m
Ousmane Dembélé,16/17,Stade Rennais,Bor. Dortmund,€12.00m,€35.00m
Ousmane Dembélé,15/16,Rennes B,Stade Rennais,-,-
Ousmane Dembélé,14/15,Rennes Jugend,Rennes B,-,-
Ousmane Dembélé,10/11,Évreux Jugend,Rennes Jugend,-,free transfer
Marcus Rashford,15/16,Man Utd U18,Man Utd,-,-
Joshua Kimmich,15/16,VfB Stuttgart,Bayern Munich,€5.00m,€8.50m
Joshua Kimmich,15/16,RB Leipzig,VfB Stuttgart,€5.00m,€1.50m
Joshua Kimmich,13/14,Stuttgart U19,RB Leipzig,-,€500k
Joshua Kimmich,12/13,Stuttgart U17,Stuttgart U19,-,-
Joshua Kimmich,10/11,Stuttgart Yth.,Stuttgart U17,-,-
Joshua Kimmich,07/08,Bösingen Yth.,Stuttgart Yth.,-,free transfer
Kevin De Bruyne,15/16,VfL Wolfsburg,Man City,€45.00m,€76.00m
Kevin De Bruyne,13/14,Chelsea,VfL Wolfsburg,€15.00m,€22.00m
Kevin De Bruyne,12/13,Werder Bremen,Chelsea,€10.00m,End of loan
Kevin De Bruyne,12/13,Chelsea,Werder Bremen,€9.00m,"Loan fee:
€450k"
Kevin De Bruyne,11/12,KRC Genk,Chelsea,€9.00m,End of loan
Kevin De Bruyne,11/12,Chelsea,KRC Genk,€9.00m,loan transfer
Kevin De Bruyne,11/12,KRC Genk,Chelsea,€9.00m,€8.00m
Kevin De Bruyne,08/09,KRC Genk U19,KRC Genk,-,-
Kevin De Bruyne,07/08,KRC Genk U17,KRC Genk U19,-,-
Kevin De Bruyne,06/07,KRC Genk Youth,KRC Genk U17,-,-
Kevin De Bruyne,05/06,KAA Gent Youth,KRC Genk Youth,-,free transfer
Endrick,24/25,Palmeiras,Real Madrid,€55.00m,€45.00m
Endrick,22/23,Palmeiras U20,Palmeiras,€20.00m,-
Endrick,21/22,Palmeiras U17,Palmeiras U20,-,-
Cole Palmer,23/24,Man City,Chelsea,€18.00m,€47.00m
Cole Palmer,21/22,Man City U23,Man City,€500k,-
Cole Palmer,20/21,Man City U18,Man City U23,-,-
Cole Palmer,18/19,Man City Youth,Man City U18,-,-
Min-jae Kim,23/24,SSC Napoli,Bayern Munich,€60.00m,€50.00m
Min-jae Kim,22/23,Fenerbahce,SSC Napoli,€14.00m,€18.05m
Min-jae Kim,21/22,BJ Guoan,Fenerbahce,€2.00m,€3.00m
Min-jae Kim,18/19,Jeonbuk Hyundai,BJ Guoan,€1.20m,€5.25m
Min-jae Kim,16/17,Gyeongju KHNP,Jeonbuk Hyundai,-,free transfer
Min-jae Kim,16/17,Yonsei Univ.,Gyeongju KHNP,-,free transfer
Min-jae Kim,14/15,Suwon THS,Yonsei Univ.,-,-
Min-jae Kim,11/12,Yeoncho MS,Suwon THS,-,-
Min-jae Kim,10/11,Nam. Haesung MS,Yeoncho MS,-,-
Min-jae Kim,08/09,Gimhae Gaya ES,Nam. Haesung MS,-,-
Min-jae Kim,06/07,Dooryong ES,Gimhae Gaya ES,-,-
Pedro Neto,19/20,Lazio,Wolves,€2.50m,€17.90m
Pedro Neto,19/20,SC Braga,Lazio,€2.50m,€11.00m
Pedro Neto,18/19,Lazio,SC Braga,€2.50m,End of loan
Pedro Neto,17/18,SC Braga,Lazio,€250k,"Loan fee:
€7.50m"
Pedro Neto,17/18,Braga U17,SC Braga,-,-
Pedro Neto,16/17,Palmeiras U17,Braga U17,-,End of loan
Pedro Neto,15/16,Braga U15,Palmeiras U17,-,loan transfer
Pedro Neto,13/14,PEJ - AD,Braga U15,-,free transfer
Pedro Neto,10/11,Vianense For.,PEJ - AD,-,free transfer
Dejan Kulusevski,23/24,Juventus,Tottenham,€50.00m,€30.00m
Dejan Kulusevski,22/23,Tottenham,Juventus,€50.00m,End of loan
Dejan Kulusevski,21/22,Juventus,Tottenham,€30.00m,"Loan fee:
€10.00m"
Dejan Kulusevski,19/20,Parma,Juventus,€40.00m,End of loan
Dejan Kulusevski,19/20,Juventus,Parma,€25.00m,loan transfer
Dejan Kulusevski,19/20,Atalanta BC,Juventus,€25.00m,€37.00m
Dejan Kulusevski,19/20,Parma,Atalanta BC,€25.00m,End of loan
Dejan Kulusevski,19/20,Atalanta BC,Parma,€1.00m,loan transfer
Dejan Kulusevski,18/19,Atalanta U19,Atalanta BC,-,-
Dejan Kulusevski,17/18,Atalanta U17,Atalanta U19,-,-
Dejan Kulusevski,16/17,IF Bromma U17,Atalanta U17,-,€3.50m
Moussa Diaby,23/24,B. Leverkusen,Aston Villa,€50.00m,€55.00m
Moussa Diaby,19/20,Paris SG,B. Leverkusen,€12.00m,€15.00m
Moussa Diaby,18/19,Paris SG B,Paris SG,€500k,-
Moussa Diaby,17/18,Crotone,Paris SG B,€500k,End of loan
Moussa Diaby,17/18,Paris SG B,Crotone,-,loan transfer
Moussa Diaby,17/18,Paris SG U19,Paris SG B,-,-
Moussa Diaby,16/17,Paris SG U17,Paris SG U19,-,-
Moussa Diaby,14/15,PSG Youth,Paris SG U17,-,-
Ben White,21/22,Brighton,Arsenal,€28.00m,€58.50m
Ben White,19/20,Leeds,Brighton,€5.50m,End of loan
Ben White,19/20,Brighton,Leeds,-,loan transfer
Ben White,18/19,Peterborough,Brighton,-,End of loan
Ben White,18/19,Brighton,Peterborough,-,loan transfer
Ben White,18/19,Brighton U23,Brighton,-,-
Ben White,17/18,Newport County,Brighton U23,-,End of loan
Ben White,17/18,Brighton U23,Newport County,-,loan transfer
Ben White,14/15,Brighton U18,Brighton U21,-,-
Ben White,14/15,Southampton Aca,Brighton U18,-,free transfer
Viktor Gyökeres,23/24,Coventry,Sporting CP,€13.00m,€21.00m
Viktor Gyökeres,21/22,Brighton,Coventry,€1.00m,€1.20m
Viktor Gyökeres,20/21,Coventry,Brighton,€800k,End of loan
Viktor Gyökeres,20/21,Brighton,Coventry,€1.00m,loan transfer
Viktor Gyökeres,20/21,Swansea,Brighton,€1.00m,End of loan
Viktor Gyökeres,20/21,Brighton,Swansea,€1.00m,loan transfer
Viktor Gyökeres,19/20,FC St. Pauli,Brighton,€800k,End of loan
Viktor Gyökeres,19/20,Brighton,FC St. Pauli,€500k,loan transfer
Viktor Gyökeres,17/18,Brommapojkarna,Brighton,€500k,€1.00m
Viktor Gyökeres,15/16,IF Bromma U19,Brommapojkarna,-,-
Viktor Gyökeres,14/15,IF Bromma U17,IF Bromma U19,-,-
Viktor Gyökeres,13/14,IFK AT U19,IF Bromma U17,-,?
João Palhinha,22/23,Sporting CP,Fulham,€25.00m,€21.00m
João Palhinha,19/20,SC Braga,Sporting CP,€4.80m,End of loan
João Palhinha,18/19,Sporting CP,SC Braga,€1.50m,loan transfer
João Palhinha,16/17,Belenenses,Sporting CP,€1.25m,End of loan
João Palhinha,16/17,Sporting CP,Belenenses,€1.25m,loan transfer
João Palhinha,16/17,Sporting B,Sporting CP,€500k,-
João Palhinha,15/16,Moreirense,Sporting B,€500k,End of loan
João Palhinha,15/16,Sporting B,Moreirense,€75k,loan transfer
João Palhinha,14/15,Sporting U19,Sporting B,-,-
João Palhinha,12/13,Sacavenense U19,Sporting U19,-,€37k
João Palhinha,12/13,Sacavenense S17,Sacavenense U19,-,-
João Palhinha,10/11,Sacavenense S15,Sacavenense S17,-,-
João Palhinha,09/10,Alta Lisboa S15,Sacavenense S15,-,free transfer
Marquinhos,13/14,AS Roma,Paris SG,€15.00m,€31.40m
Marquinhos,12/13,Corinthians,AS Roma,€750k,€5.70m
Marquinhos,12/13,AS Roma,Corinthians,€750k,End of loan
Marquinhos,12/13,Corinthians,AS Roma,€750k,"Loan fee:
€1.50m"
Marquinhos,11/12,Corinthians B,Corinthians,-,-
Nico Williams,21/22,Bilbao Athletic,Athletic,€1.50m,-
Nico Williams,20/21,Bilbao U19,Bilbao Athletic,-,-
Nico Williams,19/20,Bilbao U18,Bilbao U19,-,-
Nico Williams,18/19,Bilbao Youth,Bilbao U18,-,-
Nico Williams,13/14,CA Osasuna Yout,Bilbao Youth,-,free transfer
Levi Colwill,23/24,Chelsea U21,Chelsea,€30.00m,-
Levi Colwill,22/23,Brighton,Chelsea U21,€16.00m,End of loan
Levi Colwill,22/23,Chelsea U21,Brighton,€5.00m,loan transfer
Levi Colwill,21/22,Huddersfield,Chelsea U23,€5.00m,End of loan
Levi Colwill,21/22,Chelsea U23,Huddersfield,-,loan transfer
Levi Colwill,20/21,Chelsea U18,Chelsea U23,-,-
Levi Colwill,19/20,Chelsea Youth,Chelsea U18,-,-
Matheus Nunes,23/24,Wolves,Man City,€45.00m,€62.00m
Matheus Nunes,22/23,Sporting CP,Wolves,€35.00m,€45.00m
Matheus Nunes,19/20,Sporting CP U23,Sporting CP,-,-
Matheus Nunes,18/19,Estoril Praia,Sporting CP U23,-,€950k
Matheus Nunes,18/19,Ericeirense,Estoril Praia,-,?
Michael Olise,21/22,Reading,Crystal Palace,€15.00m,€9.30m
Michael Olise,19/20,Reading U18,Reading,€200k,-
Michael Olise,17/18,Man City Youth,Reading U18,-,free transfer
Michael Olise,16/17,Chelsea Youth,Man City Youth,-,free transfer
Michael Olise,09/10,Arsenal Youth,Chelsea Youth,-,free transfer
Micky van de Ven,23/24,VfL Wolfsburg,Tottenham,€30.00m,€40.00m
Micky van de Ven,21/22,FC Volendam,VfL Wolfsburg,€1.30m,€10.50m
Micky van de Ven,19/20,Volendam U19,FC Volendam,-,-
Micky van de Ven,18/19,Volendam U17,Volendam U19,-,-
Micky van de Ven,16/17,Volendam Youth,Volendam U17,-,-
Micky van de Ven,13/14,WSV '30 Yth.,Volendam Youth,-,free transfer
Mohammed Kudus,23/24,Ajax,West Ham,€40.00m,€43.00m
Mohammed Kudus,20/21,Nordsjaelland,Ajax,€9.00m,€9.00m
Mohammed Kudus,17/18,Right to Dream,Nordsjaelland,-,free transfer
Jonathan David,20/21,KAA Gent,LOSC Lille,€25.00m,€27.00m
Jonathan David,18/19,KAA Gent U21,KAA Gent,€100k,-
Jonathan David,17/18,Ottawa ISC,KAA Gent U21,-,free transfer
Anthony Gordon,22/23,Everton,Newcastle,€40.00m,€45.60m
Anthony Gordon,20/21,Preston,Everton,€5.00m,End of loan
Anthony Gordon,20/21,Everton,Preston,€5.00m,loan transfer
Anthony Gordon,19/20,Everton U23,Everton,€1.50m,-
Anthony Gordon,18/19,Everton U18,Everton U23,-,-
Anthony Gordon,17/18,Everton Youth,Everton U18,-,-
Anthony Gordon,12/13,Liverpool Youth,Everton Youth,-,free transfer
Amadou Onana,22/23,LOSC Lille,Everton,€10.00m,€35.00m
Amadou Onana,21/22,Hamburger SV,LOSC Lille,€3.00m,€12.60m
Amadou Onana,20/21,Hoffenheim U19,Hamburger SV,-,free transfer
Amadou Onana,18/19,Hoffenheim U17,Hoffenheim U19,-,-
Amadou Onana,17/18,Zulte W. Youth,Hoffenheim U17,-,?
Jeremie Frimpong,20/21,Celtic,B. Leverkusen,€4.00m,€11.00m
Jeremie Frimpong,19/20,Man City U23,Celtic,-,€380k
Jeremie Frimpong,18/19,Man City U18,Man City U23,-,-
Jeremie Frimpong,16/17,Man City Youth,Man City U18,-,-
Reece James,19/20,Chelsea U23,Chelsea,€7.00m,-
Reece James,18/19,Wigan,Chelsea U23,€1.00m,End of loan
Reece James,18/19,Chelsea U23,Wigan,-,loan transfer
Reece James,17/18,Chelsea U18,Chelsea U23,-,-
Reece James,16/17,Chelsea Youth,Chelsea U18,-,-
Cody Gakpo,22/23,PSV Eindhoven,Liverpool,€60.00m,€42.00m
Cody Gakpo,18/19,PSV U19,PSV Eindhoven,€400k,-
Cody Gakpo,16/17,PSV U17,PSV U19,-,-
Cody Gakpo,15/16,PSV Youth,PSV U17,-,-
Martín Zubimendi,20/21,Real Sociedad B,Real Sociedad,€250k,-
Martín Zubimendi,18/19,Real Sociedad C,Real Sociedad B,-,-
Martín Zubimendi,17/18,R. Sociedad U19,Real Sociedad C,-,-
Martín Zubimendi,16/17,Real Sociedad Y,R. Sociedad U19,-,-
Jules Koundé,22/23,Sevilla FC,Barcelona,€60.00m,€50.00m
Jules Koundé,19/20,G. Bordeaux,Sevilla FC,€15.00m,€35.00m
Jules Koundé,17/18,G. Bordeaux B,G. Bordeaux,-,-
Jules Koundé,16/17,Bordeaux U19,G. Bordeaux B,-,-
Raphinha,22/23,Leeds,Barcelona,€45.00m,€58.00m
Raphinha,20/21,Stade Rennais,Leeds,€16.00m,€18.60m
Raphinha,19/20,Sporting CP,Stade Rennais,€8.00m,€21.00m
Raphinha,18/19,Vit. Guimarães,Sporting CP,€6.50m,€6.50m
Raphinha,16/17,Guimarães B,Vit. Guimarães,€250k,-
Raphinha,15/16,Avaí U20,Guimarães B,-,€600k
Benjamin Pavard,23/24,Bayern Munich,Inter,€40.00m,€30.00m
Benjamin Pavard,19/20,VfB Stuttgart,Bayern Munich,€30.00m,€35.00m
Benjamin Pavard,16/17,LOSC Lille,VfB Stuttgart,€800k,€5.00m
Benjamin Pavard,15/16,LOSC Lille B,LOSC Lille,-,-
Benjamin Pavard,14/15,LOSC Lille U19,LOSC Lille B,-,-
Mikel Oyarzabal,15/16,Real Sociedad B,Real Sociedad,-,-
Mikel Oyarzabal,15/16,R. Sociedad U19,Real Sociedad B,-,-
Mikel Oyarzabal,14/15,Real Sociedad Y,R. Sociedad U19,-,-
Mikel Oyarzabal,13/14,SD Eibar Youth,Real Sociedad Y,-,End of loan
Mikel Oyarzabal,13/14,Real Sociedad Y,SD Eibar Youth,-,loan transfer
Mikel Oyarzabal,11/12,SD Eibar Youth,Real Sociedad Y,-,free transfer
Dayot Upamecano,21/22,RB Leipzig,Bayern Munich,€60.00m,€42.50m
Dayot Upamecano,16/17,RB Salzburg,RB Leipzig,€5.00m,€18.50m
Dayot Upamecano,15/16,VAFC U19,RB Salzburg,-,€2.20m
Diogo Jota,20/21,Wolves,Liverpool,€28.00m,€44.70m
Diogo Jota,18/19,Atlético Madrid,Wolves,€12.00m,€14.00m
Diogo Jota,17/18,Wolves,Atlético Madrid,€12.00m,End of loan
Diogo Jota,17/18,Atlético Madrid,Wolves,€8.00m,loan transfer
Diogo Jota,16/17,FC Porto,Atlético Madrid,€8.00m,End of loan
Diogo Jota,16/17,Atlético Madrid,FC Porto,€7.00m,loan transfer
Diogo Jota,16/17,Paços Ferreira,Atlético Madrid,€3.00m,€7.00m
Diogo Jota,14/15,Paços F. U19,Paços Ferreira,€100k,-
Diogo Jota,13/14,Gondomar U19,Paços F. U19,-,free transfer
Diogo Jota,12/13,Gondomar Sub-17,Gondomar U19,-,-
Diogo Jota,11/12,Gondomar Sub-15,Gondomar Sub-17,-,-
Diogo Jota,09/10,Gondomar SC CJ,Gondomar Sub-15,-,-
Mikel Merino,18/19,Newcastle,Real Sociedad,€12.00m,€12.00m
Mikel Merino,18/19,Bor. Dortmund,Newcastle,€10.00m,€7.00m
Mikel Merino,17/18,Newcastle,Bor. Dortmund,€10.00m,End of loan
Mikel Merino,17/18,Bor. Dortmund,Newcastle,€2.50m,"Loan fee:
€3.00m"
Mikel Merino,16/17,CA Osasuna,Bor. Dortmund,€2.00m,€3.75m
Mikel Merino,14/15,CA Osasuna Prom,CA Osasuna,-,-
Mikel Merino,13/14,Osasuna U19,CA Osasuna Prom,-,-
Mikel Merino,12/13,CA Osasuna Yout,Osasuna U19,-,-
Jarrod Bowen,19/20,Hull City,West Ham,€10.00m,€21.30m
Jarrod Bowen,16/17,Hull U21,Hull City,-,-
Jarrod Bowen,14/15,Hereford Utd.,Hull U21,-,free transfer
Jarrod Bowen,13/14,Hereford U19,Hereford Utd.,-,-
Dani Olmo,19/20,Dinamo Zagreb,RB Leipzig,€35.00m,€29.00m
Dani Olmo,14/15,Din. Zagreb II,Dinamo Zagreb,-,-
Dani Olmo,14/15,Barça U18,Din. Zagreb II,-,free transfer
Dani Olmo,14/15,Barça U16,Barça U18,-,-
Dani Olmo,13/14,Barça Youth,Barça U16,-,-
Dani Olmo,07/08,Espanyol Youth,Barça Youth,-,free transfer
Ivan Toney,20/21,Peterborough,Brentford,€400k,€5.60m
Ivan Toney,18/19,Newcastle,Peterborough,€500k,€390k
Ivan Toney,17/18,Scunthorpe Utd.,Newcastle,€500k,End of loan
Ivan Toney,17/18,Newcastle,Scunthorpe Utd.,€500k,loan transfer
Ivan Toney,17/18,Wigan,Newcastle,€500k,End of loan
Ivan Toney,17/18,Newcastle,Wigan,€500k,loan transfer
Ivan Toney,16/17,Scunthorpe Utd.,Newcastle,€500k,End of loan
Ivan Toney,16/17,Newcastle,Scunthorpe Utd.,€500k,loan transfer
Ivan Toney,16/17,Shrewsbury,Newcastle,€500k,End of loan
Ivan Toney,16/17,Newcastle,Shrewsbury,€500k,loan transfer
Ivan Toney,15/16,Barnsley FC,Newcastle,€500k,End of loan
Ivan Toney,15/16,Newcastle,Barnsley FC,€500k,loan transfer
Ivan Toney,15/16,Barnsley FC,Newcastle,€500k,End of loan
Ivan Toney,15/16,Newcastle,Barnsley FC,€500k,loan transfer
Ivan Toney,15/16,Northampton,Newcastle,€150k,€360k
Ivan Toney,13/14,Northampton U18,Northampton,-,-
Federico Dimarco,20/21,Hellas Verona,Inter,€10.00m,End of loan
Federico Dimarco,19/20,Inter,Hellas Verona,€5.00m,loan transfer
Federico Dimarco,18/19,Parma,Inter,€5.00m,End of loan
Federico Dimarco,18/19,Inter,Parma,€2.00m,loan transfer
Federico Dimarco,18/19,FC Sion,Inter,€2.00m,€5.00m
Federico Dimarco,17/18,Inter,FC Sion,€2.00m,€3.91m
Federico Dimarco,16/17,FC Empoli,Inter,€2.00m,End of loan
Federico Dimarco,16/17,Inter,FC Empoli,€1.30m,loan transfer
Federico Dimarco,15/16,Ascoli,Inter,€1.30m,End of loan
Federico Dimarco,15/16,Inter,Ascoli,€600k,loan transfer
Federico Dimarco,15/16,Inter U19,Inter,€300k,-
Federico Dimarco,14/15,Inter Youth,Inter U19,-,-
Conor Gallagher,22/23,Chelsea U21,Chelsea,€25.00m,-
Conor Gallagher,21/22,Crystal Palace,Chelsea U23,€25.00m,End of loan
Conor Gallagher,21/22,Chelsea U23,Crystal Palace,€15.00m,loan transfer
Conor Gallagher,20/21,West Brom,Chelsea U23,€12.00m,End of loan
Conor Gallagher,20/21,Chelsea U23,West Brom,€5.40m,loan transfer
Conor Gallagher,19/20,Swansea,Chelsea U23,€5.40m,End of loan
Conor Gallagher,19/20,Chelsea U23,Swansea,€2.00m,loan transfer
Conor Gallagher,19/20,Charlton,Chelsea U23,€2.00m,End of loan
Conor Gallagher,19/20,Chelsea U23,Charlton,-,loan transfer
Conor Gallagher,18/19,Chelsea U18,Chelsea U23,-,-
Conor Gallagher,16/17,Chelsea Youth,Chelsea U18,-,-
Eberechi Eze,20/21,QPR,Crystal Palace,€9.00m,€17.80m
Eberechi Eze,17/18,Wycombe,QPR,-,End of loan
Eberechi Eze,17/18,QPR,Wycombe,-,loan transfer
Eberechi Eze,17/18,QPR U21,QPR,-,-
Eberechi Eze,16/17,Millwall U18,QPR U21,-,free transfer
Eberechi Eze,14/15,Reading Yth.,Millwall U18,-,free transfer
Eberechi Eze,13/14,Fulham Youth,Reading Yth.,-,free transfer
Eberechi Eze,11/12,Arsenal Youth,Fulham Youth,-,free transfer
Brennan Johnson,23/24,Nottm Forest,Tottenham,€38.00m,€55.00m
Brennan Johnson,20/21,Lincoln City,Nottm Forest,-,End of loan
Brennan Johnson,20/21,Nottm Forest,Lincoln City,-,loan transfer
Brennan Johnson,19/20,Nottingham U18,Nottm Forest,-,-
João Neves,22/23,Benfica B,Benfica,€500k,-
João Neves,22/23,Benfica U19,Benfica B,€400k,-
João Neves,21/22,Benfica U17,Benfica U19,-,-
João Neves,19/20,Benfica U15,Benfica U17,-,-
João Neves,17/18,Benfica Yth,Benfica U15,-,-
António Silva,22/23,Benfica U23,Benfica,€300k,-
António Silva,20/21,Benfica U17,Benfica U23,-,-
António Silva,18/19,Benfica U15,Benfica U17,-,-
João Pedro,23/24,Watford,Brighton,€32.00m,€34.20m
João Pedro,19/20,Fluminense,Watford,€20.00m,€11.50m
João Pedro,18/19,Fluminense U17,Fluminense,-,-
Giorgio Scalvini,21/22,Atalanta U19,Atalanta BC,-,-
Giorgio Scalvini,20/21,Atalanta U17,Atalanta U19,-,-
Giorgio Scalvini,19/20,Atalanta Youth,Atalanta U17,-,-
Giorgio Scalvini,15/16,Brescia Youth,Atalanta Youth,-,?
Destiny Udogie,22/23,Udinese Calcio,Tottenham,€25.00m,End of loan
Destiny Udogie,22/23,Tottenham,Udinese Calcio,€17.00m,loan transfer
Destiny Udogie,22/23,Udinese Calcio,Tottenham,€17.00m,€18.00m
Destiny Udogie,22/23,Hellas Verona,Udinese Calcio,€17.00m,€4.00m
Destiny Udogie,21/22,Udinese Calcio,Hellas Verona,€17.00m,End of loan
Destiny Udogie,21/22,Hellas Verona,Udinese Calcio,€1.00m,loan transfer
Destiny Udogie,20/21,Verona U19,Hellas Verona,-,-
Destiny Udogie,19/20,Hellas U17,Verona U19,-,-
Destiny Udogie,18/19,Hellas Verona Y,Hellas U17,-,-
Pedro Porro,23/24,Sporting CP,Tottenham,€40.00m,€40.00m
Pedro Porro,22/23,Tottenham,Sporting CP,€40.00m,End of loan
Pedro Porro,22/23,Sporting CP,Tottenham,€25.00m,"Loan fee:
€5.00m"
Pedro Porro,22/23,Man City,Sporting CP,€25.00m,€8.77m
Pedro Porro,21/22,Sporting CP,Man City,€25.00m,End of loan
Pedro Porro,20/21,Man City,Sporting CP,€9.00m,loan transfer
Pedro Porro,19/20,Real Valladolid,Man City,€9.00m,End of loan
Pedro Porro,19/20,Man City,Real Valladolid,€10.00m,loan transfer
Pedro Porro,19/20,Girona,Man City,€10.00m,€12.00m
Pedro Porro,18/19,CF Peralada,Girona,€1.00m,-
Pedro Porro,17/18,Girona U19,CF Peralada,-,-
Pedro Porro,17/18,Rayo U19,Girona U19,-,€100k
Santiago Gimenez,22/23,CD Cruz Azul,Feyenoord,€4.00m,€6.00m
Santiago Gimenez,19/20,Cruz Azul U20,CD Cruz Azul,€100k,-
Santiago Gimenez,16/17,Cruz Azul U17,Cruz Azul U20,-,-
Santiago Gimenez,16/17,Cruz Azul Jgd.,Cruz Azul U17,-,-
Kaoru Mitoma,21/22,Union SG,Brighton,€2.50m,End of loan
Kaoru Mitoma,21/22,Brighton,Union SG,€1.80m,loan transfer
Kaoru Mitoma,21/22,Kawasaki Front.,Brighton,€1.80m,€3.00m
