player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter,age
Boubacar Kamara,38.0,Defensive Midfield,"Centre-Back, Central Midfield",France,1999-11-23,Marseille  ,France,184,Aston Villa,2027-06-30,-,,44,right,Nike,25
Marc Guéhi,38.0,Centre Back,,England,2000-07-13,Abidjan  ,Cote d'Ivoire,182,Crystal Palace,2026-06-30,-,,6,right,,24
Nayef Aguerd,38.0,Centre Back,,Morocco,1996-03-30,Kénitra  ,Morocco,190,West Ham United,2027-06-30,-,,27,left,,28
John Stones,38.0,Centre Back,"Right-Back, Defensive Midfield",England,1994-05-28,Barnsley  ,England,188,Manchester City,2026-06-30,-,,5,right,Nike,30
Leandro Trossard,38.0,Left Winger,"Attacking Midfield, Second Striker",Belgium,1994-12-04,Waterschei  ,Belgium,172,Arsenal FC,2026-06-30,-,,19,right,,30
Kobbie Mainoo,35.0,Central Midfield,"Attacking Midfield, Defensive Midfield",England,2005-04-19,Stockport  ,England,175,Manchester United,2027-06-30,-,,37,right,,19
Nicolas Jackson,35.0,Centre Forward,"Right Winger, Left Winger",Senegal,2001-06-20,Djibonker  ,Senegal,188,Chelsea FC,2031-06-30,-,,15,right,,23
Mohamed Simakan,35.0,Centre Back,Right-Back,France,2000-05-03,Marseille  ,France,187,RB Leipzig,2027-06-30,-,,2,right,Puma,24
Piero Hincapié,35.0,Centre Back,"Left-Back, Left Midfield",Ecuador,2002-01-09,Esmeraldas  ,Ecuador,184,Bayer 04 Leverkusen,2027-06-30,-,,3,left,adidas,22
Elye Wahi,35.0,Centre Forward,"Right Winger, Left Winger",France,2003-01-02,Courcouronnes  ,France,181,RC Lens,2028-06-30,-,,9,right,adidas,21
Odilon Kossounou,35.0,Centre Back,Right-Back,Ivory Coast,2001-01-04,Abidjan  ,Cote d'Ivoire,191,Bayer 04 Leverkusen,2026-06-30,-,,6,right,,23
Jean-Clair Todibo,35.0,Centre Back,,France,1999-12-30,Cayenne  ,French Guiana,190,OGC Nice,2027-06-30,-,,6,right,adidas,25
Oihan Sancet,35.0,Attacking Midfield,Central Midfield,Spain,2000-04-25,Pamplona  ,Spain,188,Athletic Bilbao,2032-06-30,-,,8,right,,24
Harvey Elliott,35.0,Attacking Midfield,"Right Winger, Central Midfield",England,2003-04-04,London  ,England,170,Liverpool FC,2027-06-30,-,,19,left,New Balance,21
Cheick Doucouré,35.0,Defensive Midfield,Centre-Back,Mali,2000-01-08,Bamako  ,Mali,180,Crystal Palace,2029-06-30,-,,28,right,,24
Mykhaylo Mudryk,35.0,Left Winger,"Right Winger, Attacking Midfield",Ukraine,2001-01-05,"Krasnograd, Kharkiv Oblast  ",Ukraine,175,Chelsea FC,2031-06-30,-,,10,right,Nike,23
Max Kilman,35.0,Centre Back,Left-Back,England,1997-05-23,London  ,England,194,Wolverhampton Wanderers,2028-06-30,-,,23,left,,27
Tino Livramento,35.0,Right Back,"Right Midfield, Left-Back",England,2002-11-12,London  ,England,182,Newcastle United,2028-06-30,-,,21,right,adidas,22
Giorgi Mamardashvili,35.0,Goalkeeper,,Georgia,2000-09-29,Tbilisi  ,Georgia,197,Valencia CF,2027-06-30,-,,25,left,,24
Ryan Gravenberch,35.0,Central Midfield,Defensive Midfield,Netherlands,2002-05-16,Amsterdam  ,Netherlands,190,Liverpool FC,2028-06-30,-,,38,right,adidas,22
Khéphren Thuram,35.0,Central Midfield,"Defensive Midfield, Left Midfield",France,2001-03-26,Reggio Emilia  ,Italy,192,OGC Nice,2025-06-30,-,,19,right,,23
Curtis Jones,35.0,Central Midfield,"Attacking Midfield, Left Midfield",England,2001-01-30,Liverpool  ,England,185,Liverpool FC,2027-06-30,-,,17,right,Nike,23
